S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin,Margin_Percentage
196,Kanthi(31),ADHIKARI SOUMENDU,763195.0,47764.0,6.258426745458238
197,Purulia(35),JYOTIRMAY SINGH MAHATO,578489.0,17079.0,2.952346544186666
198,Bishnupur(37),KHAN SAUMITRA,680130.0,5567.0,0.8185199888256657
199,SURGUJA(1),CHINTAMANI MAHARAJ,713200.0,64822.0,9.088895120583286
200,RAIGARH(2),RADHESHYAM RATHIYA,808275.0,240391.0,29.741239058488755
201,JANJGIR-CHAMPA(3),KAMLESH JANGDE,678199.0,60000.0,8.846960847774769
202,BILASPUR(5),TOKHAN SAHU,724937.0,164558.0,22.699627691785633
203,RAJNANDGAON(6),SANTOSH PANDEY,712057.0,44411.0,6.237000689551539
204,DURG(7),VIJAY BAGHEL,956497.0,438226.0,45.81572132479245
205,RAIPUR(8),BRIJMOHAN AGRAWAL,1050351.0,575285.0,54.77073854359163
206,MAHASAMUND(9),ROOP KUMARI CHOUDHARY,703659.0,145456.0,20.67137633427555
207,BASTAR(10),MAHESH KASHYAP,458398.0,55245.0,12.051754152505028
208,KANKER(11),BHOJRAJ NAG,597624.0,1884.0,0.3152483835990523
209,Godda(3),NISHIKANT DUBEY,693140.0,101813.0,14.688663184926565
210,Chatra(4),KALI CHARAN SINGH,574556.0,220959.0,38.457347934753095
211,Kodarma(5),ANNPURNA DEVI,791657.0,377014.0,47.62340255944178
212,Dhanbad(7),DULU MAHATO,789172.0,331583.0,42.0165692650018
213,Ranchi(8),SANJAY SETH,664732.0,120512.0,18.129411552324846
214,Jamshedpur(9),BIDYUT BARAN MAHATO,726174.0,259782.0,35.774070677275695
215,Palamau(13),VISHNU DAYAL RAM,770362.0,288807.0,37.48977753315973
216,Hazaribagh(14),MANISH JAISWAL,654613.0,276686.0,42.26711049123681
217,Tehri Garhwal(1),MALA RAJYA LAKSHMI SHAH,462603.0,272493.0,58.904287261431506
218,Garhwal(2),ANIL BALUNI,432159.0,163503.0,37.833991655848884
219,Almora(3),AJAY TAMTA,429167.0,234097.0,54.54683141993676
220,Nainital-Udhamsingh Nagar(4),AJAY BHATT,772671.0,334548.0,43.297600142880995
221,Haridwar(5),TRIVENDRA SINGH RAWAT,653808.0,164056.0,25.092381861341558
222,Adilabad (1),GODAM NAGESH,568168.0,90652.0,15.955140029005504
223,Karimnagar (3),BANDI SANJAY KUMAR,585116.0,225209.0,38.48963282494412
224,Nizamabad(4),ARVIND DHARMAPURI,592318.0,109241.0,18.442964758795107
